offer_id,category
AvokaDo740,женские трусы
AvokaDo740-42,женские трусы
AvokaDo742-44,женские трусы
AvokaDo744-46,женские трусы
AvokaDo746-48,женские трусы
AvokaDo748-50,женские трусы
AvokaDo750-52,женские трусы
AvokaDo752-54,женские трусы
AvokaDo754-56,женские трусы
AvokaDo756-58,женские трусы
AvokaDo740,детские трусы
AvokaDo740-42,детские трусы
AvokaDo742-44,детские трусы
AvokaDo744-46,детские трусы
AvokaDo746-48,детские трусы
AvokaDo748-50,детские трусы
AvokaDo750-52,детские трусы
AvokaDo752-54,детские трусы
AvokaDo754-56,детские трусы
AvokaDo756-58,детские трусы
beige7P40-42,детские трусы
beige7P42-44,детские трусы
beige7P44-46,детские трусы
beige7P46-48,детские трусы
beige7P48-50,детские трусы
beige7P50-52,детские трусы
beige7P52-54,детские трусы
beige7P54-56,детские трусы
white36-38,футболки
white38-40,футболки
white40-42,футболки
white42-44,футболки
white44-46,футболки
white46-48,футболки
white48-50,футболки
white50-52,футболки
white52-54,футболки
white54-56,футболки
white56-58,футболки
white58-60,футболки
