nm_id,item_label,is_tracked,lifecycle_status,source
91470767,avokado,true,active,ivan_2026-06-15_v2
311071100,avokado duble,true,sellout,ivan_2026-06-15_v2
91744473,bear,true,active,ivan_2026-06-15_v2
134111623,animal,true,active,ivan_2026-06-15_v2
134118631,bright,true,active,ivan_2026-06-15_v2
187029661,мороженое,true,active,ivan_2026-06-15_v2
187029454,чб коты,true,active,ivan_2026-06-15_v2
311048929,чб коты duble,true,sellout,ivan_2026-06-15_v2
368225219,черные детские КОШКИ и СОБАКА,true,sellout,ivan_2026-06-15_v2
37396253,черные детские КОШКИ и КРОЛИК,true,active,ivan_2026-06-15_v2
42970295,черные детские СОБАКИ НОВЫЕ,true,active,ivan_2026-06-15_v2
16915562,черные детские без принта,true,active,ivan_2026-06-15_v2
16915563,разноцветные детские КОШКИ и КРОЛИК шорты,true,active,ivan_2026-06-15_v2
26033523,разноцветные детские КОШКИ и КРОЛИК топы,true,active,ivan_2026-06-15_v2
27100340,Пудра с принтом,true,sellout,ivan_2026-06-15_v2
279085455,Пудра с принтом duble,true,sellout,ivan_2026-06-15_v2
30366126,Пудра без принта,true,sellout,ivan_2026-06-15_v2
70615639,без принта дубль ФБС,true,sellout,ivan_2026-06-15_v2
36387055,коты,true,active,ivan_2026-06-15_v2
190459759,Коты дубль,true,sellout,ivan_2026-06-15_v2
320893265,коты 4 штуки,true,sellout,ivan_2026-06-15_v2
37320545,классика ЧББ,true,active,ivan_2026-06-15_v2
279109013,классика ЧББ duble,true,sellout,ivan_2026-06-15_v2
898169514,классика ЧББ 4 штуки широкие,true,sellout,ivan_2026-06-15_v2
37342770,яркие,true,active,ivan_2026-06-15_v2
279101652,яркие duble,true,sellout,ivan_2026-06-15_v2
139345207,Авокадо,true,active,ivan_2026-06-15_v2
279076561,Авокадо duble,true,sellout,ivan_2026-06-15_v2
219107635,Авокадо Венеры,true,active,ivan_2026-06-15_v2
33853550,Авокадо Венеры duble,true,sellout,ivan_2026-06-15_v2
197330807,чёрные 5 шт,true,active,ivan_2026-06-15_v2
311092550,чёрные 5 шт duble,true,active,ivan_2026-06-15_v2
221311710,чёрные 7 шт,true,active,ivan_2026-06-15_v2
279678612,чёрные 7 шт duble,true,sellout,ivan_2026-06-15_v2
28835923,чёрные 3 шт,true,active,ivan_2026-06-15_v2
222850731,Футболка детская 4 штуки,true,sellout,ivan_2026-06-15_v2
233922260,Футболка белая детская 2 штуки,true,sellout,ivan_2026-06-15_v2
243774773,Футболка вся в отца,true,active,ivan_2026-06-15_v2
243774196,Футболка вся в мать,true,active,ivan_2026-06-15_v2
895521471,вся в мать бант,true,sellout,ivan_2026-06-15_v2
895655750,вся в мать котик,true,sellout,ivan_2026-06-15_v2
895669045,вся в отца банты,true,sellout,ivan_2026-06-15_v2
895684197,вся в отца кролик,true,sellout,ivan_2026-06-15_v2
895697737,little miss,true,sellout,ivan_2026-06-15_v2
895711726,котенок,true,sellout,ivan_2026-06-15_v2
895729315,кролики,true,sellout,ivan_2026-06-15_v2
291370302,Белая футболка красавица в мать черная надпись,true,sellout,ivan_2026-06-15_v2
286219338,Белая футболка ЛАБУБУ,true,sellout,ivan_2026-06-15_v2
279857790,Розовая футболка ЛАБУБУ,true,sellout,ivan_2026-06-15_v2
286727698,Белая футболка краш,true,sellout,ivan_2026-06-15_v2
286732546,Белая футболка навожу суету,true,sellout,ivan_2026-06-15_v2
335769055,Футболка белая мужская,true,active,ivan_2026-06-15_v2
335760311,Футболка черная мужская,true,active,ivan_2026-06-15_v2
386978954,Футболка белая женская,true,active,ivan_2026-06-15_v2
300841607,Футболка мужская 3 штуки чр бл син,true,active,ivan_2026-06-15_v2
593190228,Футболка мужская 3 штуки чр бл сер,true,active,ivan_2026-06-15_v2
577510563,Футболка мужская 3 штуки милитари,true,active,ivan_2026-06-15_v2
43556939,Набор подарочный для мужчин,true,active,ivan_2026-06-15_v2
222043180,Набор подарочный для мужчин,true,active,ivan_2026-06-15_v2
